"gene","protocol_rho","effect_d"
"ADCY10P1",-0.356719367588933,-0.661562083138029
"ADCY2",-0.0454657785068495,0.11530554427323
"ADCY3",-0.731900195311349,-1.81392746738792
"ADCY4",0.571146245059289,0.701275128454337
"ADCY5",0.0536252886401342,0.402124632913209
"ADCY6",-0.326248186176348,-0.999651657579548
"ADCY6-DT",0.49271066490575,0.84080175575362
"ADCY7",0.532014979445865,1.02036157822681
"ADCY8",-0.680504097868824,-1.86134180498675
"ADCY9",-0.349802371541502,-0.575024058774418
"ADCYAP1",-0.493083003952569,-1.36138905822466
"ADCYAP1R1",-0.538537549407115,-1.53865393133682
"ADD1",-0.394268774703557,-0.839917837716534
"ADD2",-0.683794466403162,-1.80621885737793
"ADD3",-0.33102766798419,-0.493845780506993
"ADD3-AS1",0.0706696339834726,0.40298840357016
"ADGB",-0.278793904550697,-0.380901803122465
"ADGB-DT",0.280632411067194,0.266569232097524
"ADGRA1",-0.41808748496516,-1.02044060979996
"ADGRA2",0.506916996047431,0.503308639613688
"ADGRA3",-0.424901185770751,-0.622493771838131
"ADGRB1",0.577515391535112,0.643431504368464
"ADGRB2",-0.228811472268167,-0.856157863797677
"ADGRB3",-0.535573122529644,-0.928733817064793
"ADGRB3-DT",0.122529644268775,-0.12545111074797
"ADGRD1",0.0405338655552432,-0.151086713529684
"ADGRD2",-0.274703557312253,-1.25012546704307
"ADGRE1",0.361660079051383,0.909927906928913
"ADGRE2",0.321447246231808,0.533735462689554
"ADGRE3",0.565217391304348,0.733168614082952
"ADGRE5",0.0193213499027873,0.172043479353955
"ADGRF1",-0.602766798418972,-1.83857450862926
"ADGRF2",0.142327654456225,-0.36034640772099
"ADGRF3",0.353754940711462,0.23707061192046
"ADGRF4",-0.293056594071324,-0.825765815332909
"ADGRF5",-0.0187747035573123,0.381985839102488
"ADGRF5-AS1",-0.137027064965483,-0.272922563523338
"ADGRG1",-0.00790513833992095,0.27189868686732
"ADGRG2",0.0355731225296443,0.0291270352480344
"ADGRG3",0.529280965009085,0.278870641210004
"ADGRG4",0.604743083003953,0.783766530139765
"ADGRG5",0.488142292490119,0.782640481427431
"ADGRG6",-0.326167541462181,-1.23098296344094
"ADGRG7",0.348406237470966,-0.0327678644287859
"ADGRL1",0.366600790513834,0.745256592670538
"ADGRL2",-0.261428226414385,-0.457960122161634
"ADGRL3",-0.813241106719368,-2.06465117531681
"ADGRL4",0.226284584980237,0.688535911195852
"ADGRV1",-0.329051383399209,-0.702538721376399
"ADH1A",0.65725808281912,1.70561281544058
"ADH1B",-0.0475484370389115,-0.476713744961322
"ADH1C",0.389026246243615,0.640641285901467
"ADH4",0.66699604743083,1.22799094093202
"ADH5",-0.226284584980237,0.337031555416998
"ADH6",0.315217391304348,0.0578849864364364
"ADH7",0.0588089961121206,-0.198888135869786
"ADHFE1",-0.561403525910664,-1.30565398453051
"ADI1",-0.000988142292490119,0.38586558772331
"ADIG",-0.360671936758893,-1.29101906901167
"ADIPOQ",0.621167465088584,0.255461395383157
"ADIPOR1",-0.774703557312253,-2.04601366303987
"ADIPOR2",-0.282608695652174,-0.703755257995088
"ADIRF",0.175889328063241,0.279298047046374
"ADIRF-AS1",0.485912071229318,0.537515132709178
"ADISSP",0.676877470355731,1.55509490793598
"ADK",-0.680830039525692,-1.18550012427293
"ADM",0.0928853754940711,0.00695259344979174
"ADM2",0.388724225764034,0.0151306842499366
"ADM5",0.368577075098814,0.344640177872289
"ADNP",-0.783596837944664,-1.02900234739635
"ADNP2",-0.790513833992095,-1.68614380580248
"ADO",-0.262845849802372,-0.0473711664291094
"ADORA1",-0.399308141668852,-1.19712384198543
"ADORA2A",0.314801096835469,0.351210128135879
"ADORA2A-AS1",0.369162353745833,0.554719068338648
"ADORA2B",-0.305335968379447,-0.585885709309109
"ADORA3",0.104743083003953,0.0858709526353434
"ADPGK",-0.674079585688508,-1.10709894510073
"ADPRH",0.355731225296443,0.0586712823146649
"ADPRHL1",0.629108000426298,1.53036485404281
"ADPRM",-0.395354595711735,-0.227137931943958
"ADPRS",-0.337039792844254,-0.744664092522122
"ADRA1A",-0.0444664031620553,0.0285866440497991
"ADRA1B",-0.211671715810441,0.0827066503437816
"ADRA1D",0.452681012089937,0.806563370041596
"ADRA2A",-0.285573122529644,-0.650583755812491
"ADRA2B",-0.00889328063241107,-0.651388299275917
"ADRA2C",0.58300395256917,1.29420621442439
"ADRB1",0.230237154150198,0.79975504215761
"ADRB2",-0.0721343873517787,0.00220503324913942
"ADRB3",0.33695652173913,0.438675453960982
"ADRM1",-0.313551093046307,-0.175076438219664
"ADSL",-0.817193675889328,-2.41735600377457
"ADSS1",-0.281620553359684,-0.526602377685679
"ADSS2",-0.778656126482213,-1.35784783600316
"ADTRP",-0.263833992094862,-0.452045910005771
"AEBP1",0.0227272727272727,0.272975247686204
"AEBP2",0.0780632411067194,1.02008123246892
"AEN",0.465530036450568,0.517412639977476
"AFAP1",0.130434782608696,0.4440480601305
"AFAP1-AS1",0.561403525910664,1.19513894953196
"AFAP1L1",0.456634558047054,0.906549452792106
"AFAP1L2",0.0657927784852317,0.435223876886677
"AFDN",-0.716403162055336,-1.34221222163347
"AFDN-DT",-0.41600790513834,-0.667447789285992
"AFF1",0.065727701537076,0.278606399426656
"AFF2",-0.524703557312253,-1.17824888568379
"AFF3",-0.4777450408245,-0.475455487977808
"AFF4",-0.25197628458498,0.286440611076734
"AFG1L",-0.243083003952569,-0.618753359719497
"AFG2A",0.582591778562382,0.385775136792668
"AFG2B",-0.58117125569625,-0.873155860334979
"AFG3L1P",-0.293478260869565,-0.526441002316794
"AFG3L2",-0.264822134387352,-0.192330508307142
"AFM",0.0929772957298199,-0.467376142804394
"AFMID",-0.106719367588933,-0.504912057871152
"AFP",0.0340993338801371,-0.269351588939561
"AFTPH",-0.690711462450593,-1.12964917678387
"AFTPH-DT",-0.386155854040168,-0.600756226975535
"AGA",-0.83518658344104,-1.899511007381
"AGA-DT",-0.28366692242317,-0.964427472495689
"AGAP1",-0.22337534657713,-0.305211216751467
"AGAP11",0.769953075148604,1.5528708106147
"AGAP2",-0.434890055282909,-1.45198488483163
"AGAP2-AS1",0.276322327382695,0.682871397252097
"AGAP3",-0.361660079051383,-1.97454256146555
"AGAP4",-0.0909090909090909,-0.333398857148353
