category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
PMID	PMID:26146641	3	18	9606	CNTF,CNTFR,CRLF1	CNTF,CNTFR,CRLF1	2.96e-07	0.0244	(2015) Renal and Hematological Effects of CLCF-1, a B-Cell-Stimulating Cytokine of the IL-6 Family.
PMID	PMID:24381786	4	87	9606	TNFRSF11B,CLCF1,CNTF,CNTFR	TNFRSF11B,CLCF1,CNTF,CNTFR	2.94e-07	0.0244	(2013) The enigmatic cytokine oncostatin m and roles in disease.
PMID	PMID:35783152	3	19	9606	ABCA6,ABCA9,ABCA8	ABCA6,ABCA9,ABCA8	3.43e-07	0.0275	(2022) Identification of ABCA5 among ATP-Binding Cassette Transporter Family as a New Biomarker for Colorectal Cancer.
PMID	PMID:24616665	3	19	9606	CNTF,CNTFR,CRLF1	CNTF,CNTFR,CRLF1	3.43e-07	0.0275	(2014) Trophic factors as modulators of motor neuron physiology and survival: implications for ALS therapy.
PMID	PMID:36034849	3	20	9606	CLCF1,CNTF,CNTFR	CLCF1,CNTF,CNTFR	3.94e-07	0.0307	(2022) A combined aging and immune prognostic signature predict prognosis and responsiveness to immunotherapy in melanoma.
PMID	PMID:21375496	3	20	9606	CLCF1,CNTF,CNTFR	CLCF1,CNTF,CNTFR	3.94e-07	0.0307	(2011) The gp130 receptor cytokine family: regulators of adipocyte development and function.
PMID	PMID:32458800	3	21	9606	TNFRSF11B,CNTF,CNTFR	TNFRSF11B,CNTF,CNTFR	4.5e-07	0.034	(2020) Cortical bone maturation in mice requires SOCS3 suppression of gp130STAT3 signalling in osteocytes.
PMID	PMID:25259790	3	21	9606	IL27,CNTF,CNTFR	IL27,CNTF,CNTFR	4.5e-07	0.034	(2014) Recombinant p35 from bacteria can form Interleukin (IL-)12, but Not IL-35.
PMID	PMID:31538427	3	22	9606	IL27,CNTF,CNTFR	IL27,CNTF,CNTFR	5.11e-07	0.0376	(2019) microRNA-146a Promotes Growth of Acute Leukemia Cells by Downregulating Ciliary Neurotrophic Factor Receptor and Activating JAK2STAT3 Signaling.
PMID	PMID:19230850	3	22	9606	ABCA6,ABCA9,ABCA8	ABCA6,ABCA9,ABCA8	5.11e-07	0.0376	(2009) The role of the photoreceptor ABC transporter ABCA4 in lipid transport and Stargardt macular degeneration.
PMID	PMID:26319982	3	23	9606	ABCA6,ABCA9,ABCA8	ABCA6,ABCA9,ABCA8	5.78e-07	0.0413	(2015) Identification of Aberrant Chromosomal Regions in Human Breast Cancer Using Gene Expression Data and Related Gene Information.
PMID	PMID:26472499	3	23	9606	ABCA6,ABCA9,ABCA8	ABCA6,ABCA9,ABCA8	5.78e-07	0.0413	(2015) Marine medaka ATP-binding cassette (ABC) superfamily and new insight into teleost Abch nomenclature.
PMID	PMID:28265003	3	24	9606	CNTF,CNTFR,CRLF1	CNTF,CNTFR,CRLF1	6.49e-07	0.0451	(2017) SorLA in Interleukin-6 Signaling and Turnover.
PMID	PMID:28491286	3	24	9606	CLCF1,CNTF,CRLF1	CLCF1,CNTF,CRLF1	6.49e-07	0.0451	(2017) Unwinding focal segmental glomerulosclerosis.
PMID	PMID:22319590	3	24	9606	CLCF1,CNTFR,CRLF1	CLCF1,CNTFR,CRLF1	6.49e-07	0.0451	(2012) STAT3 is activated by JAK2 independent of key oncogenic driver mutations in non-small cell lung carcinoma.
PMID	PMID:34603342	3	25	9606	CLCF1,IL27,CRLF1	CLCF1,IL27,CRLF1	7.27e-07	0.0486	(2021) A Chaperone-Like Role for EBI3 in Collaboration With Calnexin Under Inflammatory Conditions.
PMID	PMID:20554759	3	25	9606	CLCF1,CNTF,CNTFR	CLCF1,CNTF,CNTFR	7.27e-07	0.0486	(2010) Forced homo- and heterodimerization of all gp130-type receptor complexes leads to constitutive ligand-independent signaling and cytokine-independent growth.
RCTM	HSA-1280215	9	706	9606	IL17RC,TNFRSF11B,IL12A,CLCF1,IL27,CNTF,CNTFR,CRLF1,TNFRSF11A	IL17RC,TNFRSF11B,IL12A,CLCF1,IL27,CNTF,CNTFR,CRLF1,TNFRSF11A	6.49e-11	1.48e-07	Cytokine Signaling in Immune system
RCTM	HSA-6788467	4	17	9606	CLCF1,CNTF,CNTFR,CRLF1	CLCF1,CNTF,CNTFR,CRLF1	6.76e-10	7.72e-07	IL-6-type cytokine receptor ligand interactions
RCTM	HSA-449147	7	453	9606	IL17RC,IL12A,CLCF1,IL27,CNTF,CNTFR,CRLF1	IL17RC,IL12A,CLCF1,IL27,CNTF,CNTFR,CRLF1	5.47e-09	3.12e-06	Signaling by Interleukins
RCTM	HSA-447115	3	56	9606	IL12A,IL27,CRLF1	IL12A,IL27,CRLF1	7.13e-06	0.0027	Interleukin-12 family signaling
RCTM	HSA-9020956	2	11	9606	IL27,CRLF1	IL27,CRLF1	3.12e-05	0.0102	Interleukin-27 signaling
RCTM	HSA-382556	3	102	9606	ABCA6,ABCA9,ABCA8	ABCA6,ABCA9,ABCA8	4.04e-05	0.0115	ABC-family proteins mediated transport
RCTM	HSA-1369062	2	18	9606	ABCA6,ABCA9	ABCA6,ABCA9	7.58e-05	0.0192	ABC transporters in lipid homeostasis
WikiPathways	WP12	2	16	9606	TNFRSF11B,TNFRSF11A	TNFRSF11B,TNFRSF11A	6.11e-05	0.0477	Osteoclast signaling
WikiPathways	WP5095	3	126	9606	IL12A,IL27,CNTF	IL12A,IL27,CNTF	7.46e-05	0.0477	Overview of proinflammatory and profibrotic mediators
NetworkNeighborAL	CL:16089	4	25	9606	IL12A,IL27,CNTF,CNTFR	IL12A,IL27,CNTF,CNTFR	2.68e-09	1.22e-05	IL-6-type cytokine receptor ligand interactions, and Positive regulation of NK T cell proliferation
NetworkNeighborAL	CL:15940	5	138	9606	IL17RC,IL12A,IL27,CNTF,CNTFR	IL17RC,IL12A,IL27,CNTF,CNTFR	2.3e-08	5.26e-05	JAK-STAT signaling pathway, and Interleukin-1 family
NetworkNeighborAL	CL:12311	3	12	9606	ABCA6,ABCA9,ABCA8	ABCA6,ABCA9,ABCA8	1.01e-07	0.00012	ABC-type xenobiotic transporter activity, and ABC transporters in lipid homeostasis
NetworkNeighborAL	CL:29453	3	23	9606	CLCF1,REX1BD,CRLF1	CLCF1,REX1BD,CRLF1	5.78e-07	0.00043	Mostly uncharacterized, incl. CRLF-CLCF1 complex, and Connector enhancer of kinase suppressor of ras 2/3 domain
NetworkNeighborAL	CL:16092	2	6	9606	CNTF,CNTFR	CNTF,CNTFR	1.12e-05	0.0057	IL-6-type cytokine receptor ligand interactions
NetworkNeighborAL	CL:20013	2	11	9606	TNFRSF11B,TNFRSF11A	TNFRSF11B,TNFRSF11A	3.12e-05	0.013	Osteopetrosis, and DC-STAMP-like protein
NetworkNeighborAL	CL:16115	2	12	9606	IL12A,IL27	IL12A,IL27	3.64e-05	0.0139	Positive regulation of NK T cell proliferation, and interleukin-27 receptor binding
