genes,transfer_auc,within_auc
"C2CD2L,PLCXD2,IL1RL1",0.6461538461538462,0.5923076923076924
"IFT70A,FAM117B,STK17B",0.7076923076923077,0.6230769230769231
"JADE2,NEK7,KIF19",0.49230769230769234,0.38076923076923075
"KIF9,TRAPPC2L,GABARAPL3",0.623076923076923,0.6384615384615384
"SLC13A3,ENPP4,LAYN",0.5,0.20769230769230768
"PFKFB3,ACSL1,ANXA2P2",0.5615384615384615,0.6846153846153846
"PIK3CG,TNFAIP8,PPARGC1B",0.3846153846153846,0.7
"MGAT4C,NAP1L5,RELL2",0.6307692307692307,0.5923076923076923
"KCNJ2,FSD1L,LOC100507336",0.5307692307692308,0.4769230769230769
"DUSP10,PAM,CUEDC1",0.8384615384615384,0.9076923076923077
"SNHG17,LINC01088,LAMA5",0.43076923076923074,0.8461538461538461
"MERTK,TMEM200A,MAGEL2",0.8307692307692308,0.8153846153846154
"TMEM35B,MAP4K4,DDIT4L",0.3769230769230769,0.45
"DYDC2,LNX1,BCO2",0.3923076923076923,0.31153846153846154
"BDH2,TADA1,ZSCAN31",0.2769230769230769,0.7384615384615385
"MASP1,OR7A5,EPHA7",0.3923076923076923,0.6000000000000001
"TMEM178A,DNAH17,AMPD3",0.9384615384615385,0.9230769230769231
"C21orf62,MSN,NEK1",0.1923076923076923,0.7846153846153847
"OCA2,DNAAF4,A2M-AS1",0.4923076923076923,0.8384615384615385
"GDF10,PRR7,CD109",0.23076923076923075,0.6384615384615384
"SOWAHA,STIM2,TMT1B",0.23076923076923073,0.9153846153846155
"LRRC7,C12orf75,TIMM17A",0.8538461538461538,0.846153846153846
"FHOD3,INSIG1,CCDC85A",0.5769230769230769,0.8923076923076922
"EPM2A-DT,MIR34BHG,BTG3-AS1",0.46153846153846156,0.8846153846153846
"NCKAP5,SPATA18,CGN",0.523076923076923,0.5
"NR2F2,RNF166,FAM216A",0.7846153846153846,0.5076923076923077
"CSMD1,NUDT11,PLXNA4",0.7307692307692307,0.3538461538461538
"SMS,CCDC177,LUZP2",0.9538461538461538,0.9384615384615385
"LBH,LOC101930421,SNORD114-3",0.4769230769230769,0.5
"OGN,MFHAS1,USF1",0.5,0.24615384615384617
"HPGDS,C1orf162,SLC19A1",0.5,0.7153846153846154
"KLHDC1,TOX-DT,HMGCLL1",0.7769230769230769,0.6307692307692309
"MTUS1,FSTL1,HAR1A",0.3384615384615384,0.8076923076923077
"HECTD2,NKAIN2,RIN2",0.4461538461538462,0.5038461538461538
"HRH1,ATP6V1D,ALDH7A1",0.9461538461538461,0.9307692307692308
"ADGRG2,NUP58,LOC375196",0.7076923076923077,0.5461538461538461
"ST3GAL1,TIMP1,LRFN5",0.8153846153846154,0.6923076923076923
"DLG3,TMPRSS5,HIC1",0.9230769230769231,0.9230769230769231
"CD55,ARHGAP9,EPB41",0.5038461538461538,0.7769230769230769
"CACNG8,TRIM14,LARGE1",0.9923076923076923,0.9846153846153847
"HK2,PER3,CPNE9",0.3269230769230769,0.8384615384615385
"ELAPOR2,SEPTIN4,TNC",0.5,0.8538461538461538
"CPLX1,NELL1,FABP7",0.8615384615384615,0.7538461538461538
"CFAP276,LRP10,TMEM47",0.36153846153846153,0.9153846153846154
"MICU3,KDELR3,INPP5D",0.4461538461538462,0.8846153846153847
"CRISPLD1,TMEM128,RUFY2",0.5692307692307692,0.8538461538461538
"MTMR10,ERI2,PPM1H",0.8769230769230769,0.8538461538461539
"CDH9,GPR158,NR4A1",0.9076923076923077,0.7615384615384615
"KIN,PREX2,SLC66A3",0.7538461538461538,0.6615384615384615
"ATP8B1,FAM78B,CCDC18-AS1",0.6307692307692307,0.8461538461538461
"C1QC,PTTG1,ZNF600",0.45384615384615384,0.7538461538461538
"HMGCLL1,TNS2,HLA-DRB6",0.6076923076923078,0.5769230769230769
"C2orf68,RPH3A,HRH2",0.5923076923076922,0.5230769230769231
"VSTM2A-OT1,KLF12,BMAL2",0.6153846153846154,0.8307692307692308
"PDE4DIPP2,BMS1P1,TMEM67",0.2692307692307692,1.0
"NEURL1B,NEFM,PPARGC1B",0.7384615384615385,0.5846153846153846
"PHGDH,CLXN,ATP5IF1",0.9076923076923078,0.8769230769230769
"BACE2,FHL2,SLC24A3",0.9230769230769231,0.8692307692307691
"HSPA4L,LRP5,HEATR5A",0.5692307692307692,0.45
"LSM11,OR7D2,SNHG16",0.823076923076923,0.7538461538461539
"RGS9BP,ENC1,C11orf87",0.9538461538461538,0.9384615384615385
"VAMP3,GPC1-AS1,RASSF5",0.7,0.6538461538461537
"DGKQ,SNX10,HAMP",0.7307692307692307,0.24230769230769228
"TF,NOTCH2,PTPN6",0.39999999999999997,0.5
"TENT5A,TMEM231,MAP3K2-DT",0.5,0.6153846153846154
"BTN3A2,UCHL5,NEK7",0.5307692307692308,0.27692307692307694
"LINC01792,PXYLP1,PEG10",0.4076923076923077,0.4
"CETN2,PFKFB2,HBA1",0.5,0.8769230769230769
"SEC23IP,CCNYL1,ZMAT4",0.5461538461538462,0.8230769230769232
"PZP,ATP5F1B,RBFOX3",0.9384615384615385,0.9076923076923076
"ULBP2,HYAL1,RBP7",0.6000000000000001,0.676923076923077
"TMEM209,SYT1,CNTN1",0.8846153846153846,0.846153846153846
"HERC2P7,GFRA2,TOMM34",0.8461538461538463,0.8461538461538461
"PPP1R13L,VAMP1,GRSF1",0.7076923076923077,0.7076923076923077
"LCA5,NIPSNAP2,CCK",0.8538461538461538,0.8307692307692307
"SELENOP,ANKRD26P3,PWAR5",0.6076923076923075,0.7
