"GSM","group","metric","value","scan_date"
"GSM238802","AD","GAPDH 3-5 ratio (log2)",7.127004796137,"07/10/06"
"GSM238803","AD","GAPDH 3-5 ratio (log2)",6.23436944686789,"07/10/06"
"GSM238804","AD","GAPDH 3-5 ratio (log2)",6.0483370565448,"07/10/06"
"GSM238805","AD","GAPDH 3-5 ratio (log2)",5.61779903023062,"07/10/06"
"GSM238806","AD","GAPDH 3-5 ratio (log2)",6.45710132463076,"07/10/06"
"GSM238807","AD","GAPDH 3-5 ratio (log2)",6.28008858714024,"07/10/06"
"GSM238808","AD","GAPDH 3-5 ratio (log2)",5.25742378396869,"07/27/05"
"GSM119628","Control","ACTB 3-5 ratio (log2)",7.66347678148775,"10/28/04"
"GSM119629","Control","ACTB 3-5 ratio (log2)",8.35784416394376,"10/28/04"
"GSM119630","Control","ACTB 3-5 ratio (log2)",7.5024694423236,"10/28/04"
"GSM119631","Control","ACTB 3-5 ratio (log2)",8.01952592386219,"10/28/04"
"GSM119632","Control","ACTB 3-5 ratio (log2)",7.7358475962146,"10/28/04"
"GSM119633","Control","ACTB 3-5 ratio (log2)",8.56168876591546,"10/28/04"
"GSM119634","Control","ACTB 3-5 ratio (log2)",8.1395979677849,"11/01/04"
"GSM119635","Control","ACTB 3-5 ratio (log2)",7.65835881411929,"10/28/04"
"GSM119636","Control","ACTB 3-5 ratio (log2)",8.09553967814875,"10/28/04"
"GSM119637","Control","ACTB 3-5 ratio (log2)",7.21887181297841,"10/28/04"
"GSM119638","Control","ACTB 3-5 ratio (log2)",8.03284188952851,"10/28/04"
"GSM119639","Control","ACTB 3-5 ratio (log2)",8.43023772393042,"10/28/04"
"GSM119640","Control","ACTB 3-5 ratio (log2)",7.99050508694654,"10/28/04"
"GSM238799","AD","ACTB 3-5 ratio (log2)",7.4163473187507,"06/02/06"
"GSM238800","AD","ACTB 3-5 ratio (log2)",7.1487072963492,"07/27/05"
"GSM238801","AD","ACTB 3-5 ratio (log2)",7.14503386948345,"07/27/05"
"GSM238802","AD","ACTB 3-5 ratio (log2)",6.60298086918843,"07/10/06"
"GSM238803","AD","ACTB 3-5 ratio (log2)",6.03615463380891,"07/10/06"
"GSM238804","AD","ACTB 3-5 ratio (log2)",6.41436526746619,"07/10/06"
"GSM238805","AD","ACTB 3-5 ratio (log2)",6.26576441246558,"07/10/06"
"GSM238806","AD","ACTB 3-5 ratio (log2)",6.43050388639986,"07/10/06"
"GSM238807","AD","ACTB 3-5 ratio (log2)",6.33505362938347,"07/10/06"
"GSM238808","AD","ACTB 3-5 ratio (log2)",6.54512037741759,"07/27/05"
"GSM119628","Control","RNA degradation slope",8.38059659444257,"10/28/04"
"GSM119629","Control","RNA degradation slope",9.69504483920287,"10/28/04"
"GSM119630","Control","RNA degradation slope",9.09411492026956,"10/28/04"
"GSM119631","Control","RNA degradation slope",8.6052109464449,"10/28/04"
"GSM119632","Control","RNA degradation slope",8.45551863738223,"10/28/04"
"GSM119633","Control","RNA degradation slope",9.53856260028099,"10/28/04"
"GSM119634","Control","RNA degradation slope",8.60285100085667,"11/01/04"
"GSM119635","Control","RNA degradation slope",7.92265480842616,"10/28/04"
"GSM119636","Control","RNA degradation slope",8.89561072616448,"10/28/04"
"GSM119637","Control","RNA degradation slope",7.17759427458623,"10/28/04"
"GSM119638","Control","RNA degradation slope",7.1599355529339,"10/28/04"
"GSM119639","Control","RNA degradation slope",8.62223922665378,"10/28/04"
"GSM119640","Control","RNA degradation slope",7.77593033250646,"10/28/04"
"GSM238799","AD","RNA degradation slope",10.1415890338974,"06/02/06"
"GSM238800","AD","RNA degradation slope",9.26800410910691,"07/27/05"
"GSM238801","AD","RNA degradation slope",9.9237980412403,"07/27/05"
"GSM238802","AD","RNA degradation slope",11.2817080438878,"07/10/06"
"GSM238803","AD","RNA degradation slope",11.409195019037,"07/10/06"
"GSM238804","AD","RNA degradation slope",11.4844312223657,"07/10/06"
"GSM238805","AD","RNA degradation slope",11.1917458498613,"07/10/06"
"GSM238806","AD","RNA degradation slope",10.8228105656597,"07/10/06"
"GSM238807","AD","RNA degradation slope",10.7241762268621,"07/10/06"
"GSM238808","AD","RNA degradation slope",10.6559049800995,"07/27/05"
"GSM119628","Control","RLE median",-0.0330238544372774,"10/28/04"
"GSM119629","Control","RLE median",0,"10/28/04"
"GSM119630","Control","RLE median",0.0233182638016123,"10/28/04"
"GSM119631","Control","RLE median",-0.00460289085001087,"10/28/04"
"GSM119632","Control","RLE median",-0.0718987516570651,"10/28/04"
"GSM119633","Control","RLE median",-0.00748514600081407,"10/28/04"
"GSM119634","Control","RLE median",0.0500444213876055,"11/01/04"
"GSM119635","Control","RLE median",-0.0546231392294612,"10/28/04"
"GSM119636","Control","RLE median",-0.0468577937233214,"10/28/04"
"GSM119637","Control","RLE median",0,"10/28/04"
"GSM119638","Control","RLE median",0.0330657847940512,"10/28/04"
"GSM119639","Control","RLE median",0,"10/28/04"
"GSM119640","Control","RLE median",0,"10/28/04"
"GSM238799","AD","RLE median",-0.0631217311260297,"06/02/06"
"GSM238800","AD","RLE median",0,"07/27/05"
"GSM238801","AD","RLE median",-0.0692885421775631,"07/27/05"
"GSM238802","AD","RLE median",0.0199519921049189,"07/10/06"
"GSM238803","AD","RLE median",0.073880452680402,"07/10/06"
"GSM238804","AD","RLE median",0.0100891999853006,"07/10/06"
"GSM238805","AD","RLE median",0.0418392016933962,"07/10/06"
"GSM238806","AD","RLE median",0.0438259687774907,"07/10/06"
"GSM238807","AD","RLE median",0.0239271161496983,"07/10/06"
"GSM238808","AD","RLE median",0,"07/27/05"
"GSM119628","Control","NUSE median",0.995216957327319,"10/28/04"
"GSM119629","Control","NUSE median",1.00597052580046,"10/28/04"
"GSM119630","Control","NUSE median",1.02523204167749,"10/28/04"
"GSM119631","Control","NUSE median",0.990101589923525,"10/28/04"
"GSM119632","Control","NUSE median",0.995425613560389,"10/28/04"
"GSM119633","Control","NUSE median",0.986998572668514,"10/28/04"
"GSM119634","Control","NUSE median",1.04178317870532,"11/01/04"
"GSM119635","Control","NUSE median",0.992535378553149,"10/28/04"
"GSM119636","Control","NUSE median",0.986995817047821,"10/28/04"
"GSM119637","Control","NUSE median",0.991442588819481,"10/28/04"
"GSM119638","Control","NUSE median",1.01733137122481,"10/28/04"
"GSM119639","Control","NUSE median",1,"10/28/04"
"GSM119640","Control","NUSE median",0.994754721000355,"10/28/04"
"GSM238799","AD","NUSE median",1,"06/02/06"
"GSM238800","AD","NUSE median",1.00127106407802,"07/27/05"
"GSM238801","AD","NUSE median",0.986365948073941,"07/27/05"
"GSM238802","AD","NUSE median",1,"07/10/06"
"GSM238803","AD","NUSE median",1.01724503029911,"07/10/06"
"GSM238804","AD","NUSE median",1,"07/10/06"
"GSM238805","AD","NUSE median",1.01455109870696,"07/10/06"
"GSM238806","AD","NUSE median",1.01090742880781,"07/10/06"
"GSM238807","AD","NUSE median",1.00652673296611,"07/10/06"
"GSM238808","AD","NUSE median",0.997455843781556,"07/27/05"
