iteration,AUC,AP,best_C,n_selected,selected_genes
59,0.8095238095238095,0.5888888888888889,1.0,31,SST;ARHGAP36;PTGER3;GRP;SSTR1;ANGPT1;PKIB;TNFRSF11B;TMEM45A;CA10;VAC14-AS1;OTOS;KCNK1;INPP5F;TMEM100;CLUL1;KCTD4;N4BP2;TAB2;SORBS1;COL12A1;COCH;PLA2G7;ANKRD12;NFIA;PARP14;PANK1;LOC729218;PGM5-AS1;COL6A1;SPIN4
60,0.7777777777777778,0.8095238095238095,1.0,24,NEFH;SMIM43;ABCA6;SSTR1;PWWP3B;IFI44L;CALB2;CRLF1;ELAVL2;TNFRSF11B;EPHX4;CNTNAP2;MAP3K2-DT;MET;MTCL1;N4BP2;MIR29B2CHG;SORBS1;CLGN;RGMA;PMS2P2;ITPR2;TRIM73;PANK1
61,0.8095238095238095,0.5888888888888889,1.0,26,ARHGAP36;PTGER3;KLRC2;VEGFA;ABCA6;SSTR1;TNFRSF11B;HLA-DPB1;STON2;VAC14-AS1;CGNL1;SYNC;TMEM100;CLUL1;N4BP2;HMGCR;SORBS1;RGMA;PLA2G7;ADCY2;DNAJC6;BMS1P1;LOC729218;RBM48;COL6A1;DHCR7
62,0.42857142857142855,0.3194444444444444,0.5,20,LTF;SMIM43;CRLF1;GCH1;MPO;MAP3K2-DT;BCAT1;INPP5F;SORBS1;LOC105369477;SERPINB9;SCN7A;C17orf75;PCDHB4;PMS2P2;ATP2B3;LOXL2;CYGB;EXOC8;TTC39A
63,1.0,1.0,0.5,19,ARHGAP36;ABCA6;CD69;CRLF1;TNFRSF11B;MAN2A1;PCOLCE2;N4BP2;MIR29B2CHG;TAB2;TTN;LOC105369477;PLA2G7;PMS2P2;ITPR2;CSGALNACT1;GRHL1;PANK1;BTN3A3
64,0.6666666666666666,0.7666666666666666,0.2,10,CALB2;CRLF1;ELAVL2;TNFRSF11B;MEST;SYNC;INPP5F;TAB2;GRHL1;PANK1
65,0.7777777777777779,0.5888888888888888,0.5,28,DDX3Y;SLC17A6;TXLNGY;ANGPT1;PKIB;IFI44L;STMN4;TMEM45A;CA10;TEX26;SYNC;ADAMTS3;N4BP2;LOC105377223;MIR29B2CHG;TAB2;SORBS1;LOC100240735;HMBOX1;PLA2G7;ITPR2;NQO2;GRHL1;EPB41L4A;ZNF117;LOC101927967;PANK1;BTN3A3
66,0.9047619047619048,0.8666666666666667,1.0,29,TXLNGY;CUTALP;VGLL3;PKIB;LOC100505874;TNFRSF11B;CARTPT;MAOB;HSFY1;MET;N4BP2;MIR29B2CHG;TAB2;NRP2;SORBS1;LOC100240735;HMBOX1;COL12A1;COCH;PLA2G7;PMS2P2;ITPR2;GRHL1;EPB41L4A;LOC101927967;CNTNAP3;RPS6KA5;PANK1;RDH14
67,0.3333333333333333,0.30634920634920637,1.0,28,LTF;SV2C;OLFM3;KCNQ5;KCNA1;PWWP3B;CRLF1;ACOT7;CRABP1;FILIP1L;SLC39A10;EID2B;MAP3K2-DT;MEST;TBC1D7;CAMKK2;MIR29B2CHG;SORBS1;LOC105369477;TFR2;EXPH5;PCDHB4;HEY2;PLEKHH2;DIAPH3;TUBG1;FARSA;CNTNAP3
68,1.0,1.0,1.0,29,SV2C;PTGER3;ABCA6;SSTR1;LINC00622;MIR570HG;VSTM2A-OT1;NOS3;PCOLCE2;HSFY1;MET;NCKAP5;MCF2;SORBS1;CCDC170;RGMA;SLN;PLA2G7;C17orf75;PMS2P2;ITPR2;DIAPH3;CSGALNACT1;PHOSPHO2;CLEC4GP1;PANK1;ADAMTS19;LOC729218;DHCR7
69,0.7619047619047619,0.5555555555555556,1.0,23,KISS1R;VEGFA;ABCA6;SSTR1;CALB2;CRLF1;CA12;TNFRSF11B;MCHR1;GSTT2;PGAP1;TMEM100;N4BP2;TAB2;SORBS1;FGD6;PLA2G7;PMS2P2;ITPR2;EMCN;LOC729218;COL6A1;SPIN4
70,0.6111111111111112,0.47619047619047616,0.1,2,SYNC;CAPN2
71,0.8095238095238095,0.8095238095238095,0.2,9,ARHGAP36;EFEMP1;ELAVL2;TNFRSF11B;CA10;INPP5F;TAB2;DIAPH3;GRHL1
72,0.47619047619047616,0.3472222222222222,1.0,26,PTGER3;CKS2;VEGFA;DGKB;ABCA6;TMEM45A;STON2;VAC14-AS1;HSPH1;PAX6;LINC02712;TMEM100;HYCC1;SLC6A12;SORBS1;RGMA;FGD6;ADCY2;ITPR2;PARD6G-AS1;DPYSL4;RBM48;MIF;MINK1;DHCR7;FSD1
73,0.7619047619047619,0.7916666666666666,0.5,21,LTF;SV2C;SMIM43;ABCA6;CRLF1;ELAVL2;TNFRSF11B;EPHX4;MAP3K2-DT;N4BP2;VAMP1;MIR29B2CHG;SORBS1;COL12A1;LOC105369477;LTBP1;PMS2P2;ITPR2;ENG;EPB41L4A;PANK1
74,0.8571428571428572,0.6388888888888888,0.2,11,CRLF1;GCH1;SYNC;SERPINI2;GALNTL5;INPP5F;HMBOX1;FGD6;PMS2P2;A2M-AS1;CDKN2AIPNL
